Rank,Streamer,start_month,avg_avg_viewers
15,sodapoppin,20-Mar,17103.54167
15,sodapoppin,20-Feb,18991.25
15,sodapoppin,20-Jan,22215.5
15,sodapoppin,19-Dec,5632
15,sodapoppin,19-Nov,17512.63636
15,sodapoppin,19-Oct,16957.38889
15,sodapoppin,19-Sep,29322.55556
15,sodapoppin,19-Aug,26926
15,sodapoppin,19-Jul,17258.55
15,sodapoppin,19-Jun,21456.06667
15,sodapoppin,19-May,31459.10526
15,sodapoppin,19-Apr,23450.53846
15,sodapoppin,19-Mar,30431.04348
15,sodapoppin,19-Feb,23016.17391
15,sodapoppin,19-Jan,23835
15,sodapoppin,18-Dec,25682.83333
15,sodapoppin,18-Nov,24982.41176
15,sodapoppin,18-Oct,22048.66667
15,sodapoppin,18-Sep,20534.72222
15,sodapoppin,18-Aug,32348.79167
15,sodapoppin,18-Jul,24660.52632
15,sodapoppin,18-Jun,28326.22222
15,sodapoppin,18-May,26281.18182
15,sodapoppin,18-Apr,26515.81818
15,sodapoppin,18-Mar,21033.3
15,sodapoppin,18-Feb,18299.4
15,sodapoppin,18-Jan,17765.18182
15,sodapoppin,17-Dec,17311.95238
15,sodapoppin,17-Nov,21885.22222
15,sodapoppin,17-Oct,19890.75
15,sodapoppin,17-Sep,17149.05556
15,sodapoppin,17-Aug,17872.25
15,sodapoppin,17-Jul,16995.375
15,sodapoppin,17-Jun,15610.09524
15,sodapoppin,17-May,13969.9
15,sodapoppin,17-Apr,16405.78947
15,sodapoppin,17-Mar,13390.18182
15,sodapoppin,17-Feb,14253.6
15,sodapoppin,17-Jan,15618.85714
15,sodapoppin,16-Dec,13923.81481
15,sodapoppin,16-Nov,12845.65
15,sodapoppin,16-Oct,15033.6
15,sodapoppin,16-Sep,18689.64286
15,sodapoppin,16-Aug,19128.77419
15,sodapoppin,16-Jul,14697.77778
15,sodapoppin,16-Jun,13741.2
15,sodapoppin,16-May,14532.03846
15,sodapoppin,16-Apr,16170.22727
15,sodapoppin,16-Mar,14961.85
15,sodapoppin,16-Feb,15883.47368
15,sodapoppin,16-Jan,17462.66667
15,sodapoppin,15-Dec,15467.03448
15,sodapoppin,15-Nov,14522
15,sodapoppin,15-Oct,16463.96552
15,sodapoppin,15-Sep,20444
15,sodapoppin,15-Aug,21443.96552
